 1239.2625    -4.25767      39.56          
 1246.755     -5.64586      28.81          
 1254.2475    -8.19922      18.15          
 1261.74      -13.12636     14.21          
 1269.2325    -19.62506     64.92          
 1276.725     -12.66418     105.39         
 1284.2175    -8.36007      100.96         
 1291.71      -6.08105      91.75          
 1299.2025    -4.73643      82.43          
 1306.695     -3.90682      73.73          
 1314.1875    -3.34617      65.90          
 1321.68      -2.96108      58.66          
 1329.1725    -2.69532      52.02          
 1336.665     -2.48122      45.73          
 1344.1575    -2.32236      39.69          
 1351.65      -2.20171      33.92          
 1359.1425    -2.11033      28.39          
 1366.635     -2.03334      23.04          
 1374.1275    -1.96216      17.77          
 1381.62      -1.90745      12.62          
 1389.1125    -1.86227      7.56           
 1396.605     -1.8142       2.60           
 1404.0975    -1.77441      -2.36          
 1411.59      -1.73537      -7.26          
 1419.0825    -1.70922      -12.04         
 1426.575     -1.67423      -16.83         
 1434.0675    -1.64892      -21.56         
 1441.56      -1.62141      -26.32         
 1449.0525    -1.59589      -30.99         
 1456.545     -1.58491      -35.66         
 1464.0375    -1.56042      -40.23         
 1471.53      -1.55081      -44.87         
 1479.0225    -1.53253      -49.44         
 1486.515     -1.512        -54.03         
 1494.0075    -1.49806      -58.59         
 1501.5       -1.48736      -63.11         
 1508.9925    -1.47581      -67.67         
 1516.485     -1.45999      -72.21         
 1523.9775    -1.44857      -76.67         
 1531.47      -1.44111      -81.16         
 1538.9625    -1.43204      -85.60         
 1546.455     -1.41614      -90.03         
 1553.9475    -1.40164      -94.40         
 1561.44      -1.40196      -98.83         
 1568.9325    -1.38947      -103.21        
 1576.425     -1.38527      -107.58        
 1583.9175    -1.38441      -111.88        
 1591.41      -1.3773       -116.25        
 1598.9025    -1.37157      -120.57        
 1606.395     -1.3794       -124.81        
 1613.8875    -1.37685      -129.19        
 1621.38      -1.3862       -133.45        
 1628.8725    -1.38415      -137.76        
 1636.365     -1.39411      -142.07        
 1643.8575    -1.40459      -146.38        
 1651.35      -1.42166      -150.56        
 1658.8425    -1.41478      -154.97        
 1666.335     -1.43725      -159.16        
 1673.8275    -1.45644      -163.45        
 1681.32      -1.47234      -167.67        
 1688.8125    -1.47631      -171.94        
